Sand;Silt;Clay;Li670;Mg518;Si288;Fe330;CN383;Na819;Textural_group;Group
15.1;39.9;45;2129.875;2691.375;6472.25;98.25;2081.125;1168.625;Clayey;Clayey
27;39.9;33.1;1963.875;2362.625;6429.75;129.25;1864;993.375;Loamy;Loamy
37;39.9;23.1;1461.625;1504.25;6014.25;75.625;1401.75;498.75;Loamy;Loamy
55.1;39.8;5.1;1484.75;1077.375;4783.75;79.875;981.75;557;Loamy;Loamy
45.9;39.8;14.3;1796.375;1269.625;5646;31.75;1035.375;211;Loamy;Loamy
19.2;39.8;41;1661.375;1892.75;5755.5;54;1407.5;670.125;Clayey;Clayey
31.2;39.8;29;1354.75;1304.75;5123.375;65;1191.125;265.75;Loamy;Loamy
39.3;39.7;21;1611.875;1630.875;7075.375;76.125;1401.25;658.75;Loamy;Loamy
26;39.4;34.6;1610.75;1930.625;4715.5;78.5;1669.25;454.875;Loamy;Loamy
42.2;39;18.8;1618.625;2156.125;8506.625;176.875;1873;1410.875;Loamy;Loamy
27.1;38.9;34;1815.625;2137.375;6176.875;87.5;1668.125;801.25;Loamy;Loamy
36.3;38.9;24.8;1800.25;2199.5;7373.875;194.375;1749.125;1512.375;Loamy;Loamy
47.9;38.8;13.3;1593.5;1342;5801.25;54.375;1162.125;342.75;Loamy;Loamy
58.2;38;3.8;1078.625;724.25;4818.5;39.875;714.25;164.625;Loamy;Loamy
23;37.9;39.1;1836.875;2048;6078.875;79.625;1637.625;953.875;Loamy;Loamy
35.7;37.9;26.4;1884.125;2112;6603.125;20.375;1840.5;258.125;Loamy;Loamy
25;37.9;37.1;1799;1989.125;6261.125;88.5;1647.25;444.625;Loamy;Loamy
27;37.9;35.1;1911.875;2254.875;6201.125;105.125;1967.25;686.875;Loamy;Loamy
55;37.9;7.1;1319.625;1064.875;4915.625;83.125;995.875;525.75;Loamy;Loamy
25.9;37.8;36.3;1507.875;1789;5202.25;11.125;1504.75;107.125;Loamy;Loamy
37.3;37.8;24.9;2000;1963.875;6154.875;110.875;1562.75;765.125;Loamy;Loamy
31.7;37.5;30.8;1689.5;1876.5;6039.125;76.125;1512.5;765.375;Loamy;Loamy
29;36.9;34.1;1670.125;1808.75;5688;93;1630.875;648.75;Loamy;Loamy
43.9;36.8;19.3;2534.125;4087.125;8746.375;173.625;3185.125;1143;Loamy;Loamy
27;36;37;1705.125;1966.375;6109.375;84.25;1540.25;789.75;Loamy;Loamy
38.9;36;25.1;1396;1322.875;5842.5;25.125;1238.375;410;Loamy;Loamy
23;35.9;41.1;1586.25;1782.875;6145;69.125;1678.75;361;Clayey;Clayey
20.4;35.9;43.7;2470.75;3058.625;7982;200.875;2405.375;1463.25;Clayey;Clayey
36.3;35.9;27.8;1994.25;2711.875;8382.75;208.75;2132;1654.75;Loamy;Loamy
